,timeStamp,from,to,tokenName,value
2,1628693679,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x08f1b7bd6c6d9c6aea5b3a3b3225b953251d158d,Fingerprints,5000.0
4,1628695098,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xc77fa6c05b4e472feee7c0f9b20e70c5bf33a99b,Fingerprints,5000.0
6,1628695473,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x8ca9dff922d71f8a639d67b74a7f071f849b61d0,Fingerprints,5000.0
11,1628698574,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xb1b28184e682f90de1e540291c0b9f88283e5d14,Fingerprints,5000.0
13,1628699176,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x50664ede715e131f584d3e7eaabd7818bb20a068,Fingerprints,5000.0
15,1628699395,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xd71a41ec000089ae99873afb4d15cc7d54dd95bc,Fingerprints,5000.0
17,1628699522,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xa6775ae22067d71fae76e22fa377cfb38f223f0d,Fingerprints,5000.0
19,1628701232,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x6924686b3dcd04ae8ef91a3feccc262d020f519d,Fingerprints,5000.0
23,1628704412,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xa73dc2f955bca7f3f2d39c0926583174aa1ef0b4,Fingerprints,5000.0
25,1628707783,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xec6d36a487d85cf562b7b8464ce8dc60637362ac,Fingerprints,5000.0
27,1628710316,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x76db02500f7631d57bc2dcdca9d4cf782b99e119,Fingerprints,2500.0
29,1628711079,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xa1ed76f128084e70c683eb86b1a61fefdc49268f,Fingerprints,1000.0
31,1628711171,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xa560cff4d83c8ace9242d999d2cd7ba690d37b6c,Fingerprints,5000.0
33,1628715677,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xa93729b339501bfae9a28cc8f58180b731e655e7,Fingerprints,5000.0
35,1628719025,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xe470abb64b9f03187e3c7f6059278642cc09bc02,Fingerprints,5000.0
40,1628722206,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x24adc28c0a1b1782e55d52ac67e810ca0cb0d2bd,Fingerprints,1000.0
42,1628722900,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xbd8a92e249090249c5fb2ff71e47b69fb650d3af,Fingerprints,5000.0
44,1628724427,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xf296178d553c8ec21a2fbd2c5dda8ca9ac905a00,Fingerprints,5000.0
46,1628725504,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xe01a97fc4607a388a41626d5e039fdecbfc6acd9,Fingerprints,1000.0
48,1628730526,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xd16b147f126ba1c85c33d0997e911d7a742251e3,Fingerprints,5000.0
51,1628738020,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xe8bd796d3002d8756f833e62950f25b719dd4afa,Fingerprints,5000.0
53,1628738372,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x2fcc020f72e5d2edd2a24d04f3dc90d7fdfbd1dd,Fingerprints,5000.0
55,1628739128,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xd28bfaea8c886ff6424141278a928f3cde2741f1,Fingerprints,1000.0
57,1628739852,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x02cfdaff6bc6e896f364f93a50559e3fd0a6ff1d,Fingerprints,5000.0
59,1628740150,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x983830536419e28623128eccbc22fee4e4a146c6,Fingerprints,1000.0
61,1628741632,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x02eccd26ad8875dc04c456a5ab6fc7fb54381657,Fingerprints,5000.0
63,1628748691,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xeb1c22baacafac7836f20f684c946228401ff01c,Fingerprints,5000.0
65,1628755627,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xf37a306464ed57dd1e025819cd901020f28f799f,Fingerprints,1000.0
67,1628760729,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x296e0c21db4061ebf971e55d5db85011e7ff9797,Fingerprints,5000.0
69,1628767121,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x1add18a1643caf074711e40b2afaf73354d1f743,Fingerprints,5000.0
71,1628768591,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x0dda698d2fe2fc1fb8f5b54ee9cd77fbd5a1d08b,Fingerprints,1000.0
75,1628782652,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xa5f09c6f40aa9b8f7ad70d64c42e20df1ad1f0f4,Fingerprints,1000.0
77,1628786056,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xdec04f2ff318f8ad0101383e802489c19ff269ea,Fingerprints,1000.0
79,1628791457,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x85c0c90946e3e959f537d01cebd93f97c9b5e372,Fingerprints,5000.0
82,1628811313,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x906e55e1035c8a0828f249c173d8090e8fd5f189,Fingerprints,5000.0
84,1628811468,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xf2de13954cc05c91d4058db09e94100006bf5c9c,Fingerprints,5000.0
86,1628816110,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x94ef50afac9c04572813f36fb8d676eb400de278,Fingerprints,5000.0
89,1628823201,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x526f2caa9a0e7bd7d506591a904e7dd91a62c315,Fingerprints,5000.0
92,1628825412,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xaf12f9ff76fbbc5e59b95351444f9894f9978ceb,Fingerprints,5000.0
94,1628829403,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x3da0bc062b9498aa2cd31d5c22d75ac0b37932e1,Fingerprints,5000.0
96,1628838930,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x7aed3163fb1b705423175e3c2fa1d58aa638efa0,Fingerprints,5000.0
98,1628868446,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x422b6921a0bdb94f932dc635d87011e234b608bf,Fingerprints,5000.0
101,1628887937,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x9436b3a2fbe0422129dd4b047d37cf512f51c796,Fingerprints,5000.0
103,1628904802,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x3a53bd6c755f42c33603a5fed103c77edb9ac782,Fingerprints,5000.0
106,1628964926,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x554b1bd47b7d180844175ca4635880da8a3c70b9,Fingerprints,5000.0
109,1628981012,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x28f728356fd5cb052c6de19842aa2c713e8074ed,Fingerprints,5000.0
111,1628987481,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x8a333a18b924554d6e83ef9e9944de6260f61d3b,Fingerprints,1000.0
113,1628989745,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0x85234aa474fb2d5077d523765c62a5fc6f31d3a4,Fingerprints,1000.0
115,1628992139,0x45e77e6473676ab30ed64f3815fea7847d02d7b8,0xba39bf5db0cc53337ffbf4ab2bd2c014f12d0ae2,Fingerprints,5000.0
